Unit Name,Country,Status,Type,Latest Reference Unit Power(net),Construction Date,Grid Date,Commercial Date
GENTILLY-2,CANADA,Permanent Shutdown,PHWR ,635,1974-04-01,1982-12-04,1983-10-01
PICKERING-2,CANADA,Permanent Shutdown,PHWR ,515,1966-09-01,1971-10-06,1971-12-30
PICKERING-3,CANADA,Permanent Shutdown,PHWR ,515,1967-12-01,1972-05-03,1972-06-01
ROLPHTON NPD,CANADA,Permanent Shutdown,PHWR ,22,1958-01-01,1962-06-04,1962-10-01
BUGEY-1,FRANCE,Permanent Shutdown,GCR  ,540,1965-12-01,1972-04-15,1972-07-01
CHINON A-1,FRANCE,Permanent Shutdown,GCR  ,70,1957-02-01,1963-06-14,1964-02-01
CHINON A-2,FRANCE,Permanent Shutdown,GCR  ,180,1959-08-01,1965-02-24,1965-02-24
CHINON A-3,FRANCE,Permanent Shutdown,GCR  ,360,1961-03-01,1966-08-04,1966-08-04
CHOOZ-A (ARDENNES),FRANCE,Permanent Shutdown,PWR  ,305,1962-01-01,1967-04-03,1967-04-15
EL-4 (MONTS D'ARREE),FRANCE,Permanent Shutdown,HWGCR,70,1962-07-01,1967-07-09,1968-06-01
G-2 (MARCOULE),FRANCE,Permanent Shutdown,GCR  ,39,1955-03-01,1959-04-22,1959-04-22
G-3 (MARCOULE),FRANCE,Permanent Shutdown,GCR  ,40,1956-03-01,1960-04-04,1960-04-04
PHENIX,FRANCE,Permanent Shutdown,FBR  ,130,1968-11-01,1973-12-13,1974-07-14
ST. LAURENT A-1,FRANCE,Permanent Shutdown,GCR  ,390,1963-10-01,1969-03-14,1969-06-01
ST. LAURENT A-2,FRANCE,Permanent Shutdown,GCR  ,465,1966-01-01,1971-08-09,1971-11-01
SUPER-PHENIX,FRANCE,Permanent Shutdown,FBR  ,1200,1976-12-13,1986-01-14,1986-12-01
AVR JUELICH,GERMANY,Permanent Shutdown,HTGR ,13,1961-08-01,1967-12-17,1969-05-19
BIBLIS-A,GERMANY,Permanent Shutdown,PWR  ,1167,1970-01-01,1974-08-25,1975-02-26
BIBLIS-B,GERMANY,Permanent Shutdown,PWR  ,1240,1972-02-01,1976-04-25,1977-01-31
BRUNSBUETTEL,GERMANY,Permanent Shutdown,BWR  ,771,1970-04-15,1976-07-13,1977-02-09
GRAFENRHEINFELD,GERMANY,Permanent Shutdown,PWR  ,1275,1975-01-01,1981-12-30,1982-06-17
GREIFSWALD-1,GERMANY,Permanent Shutdown,PWR  ,408,1970-03-01,1973-12-17,1974-07-12
GREIFSWALD-2,GERMANY,Permanent Shutdown,PWR  ,408,1970-03-01,1974-12-23,1975-04-16
GREIFSWALD-3,GERMANY,Permanent Shutdown,PWR  ,408,1972-04-01,1977-10-24,1978-05-01
GREIFSWALD-4,GERMANY,Permanent Shutdown,PWR  ,408,1972-04-01,1979-09-03,1979-11-01
GREIFSWALD-5,GERMANY,Permanent Shutdown,PWR  ,408,1976-12-01,1989-04-24,1989-11-01
GUNDREMMINGEN-A,GERMANY,Permanent Shutdown,BWR  ,237,1962-12-12,1966-12-01,1967-04-12
HDR GROSSWELZHEIM,GERMANY,Permanent Shutdown,BWR  ,25,1965-01-01,1969-10-14,1970-08-02
ISAR-1,GERMANY,Permanent Shutdown,BWR  ,878,1972-05-01,1977-12-03,1979-03-21
KNK II,GERMANY,Permanent Shutdown,FBR  ,17,1974-09-01,1978-04-09,1979-03-03
KRUEMMEL,GERMANY,Permanent Shutdown,BWR  ,1346,1974-04-05,1983-09-28,1984-03-28
LINGEN,GERMANY,Permanent Shutdown,BWR  ,183,1964-10-01,1968-07-01,1968-10-01
MUELHEIM-KAERLICH,GERMANY,Permanent Shutdown,PWR  ,1219,1975-01-15,1986-03-14,1987-08-18
MZFR,GERMANY,Permanent Shutdown,PHWR ,52,1961-12-01,1966-03-09,1966-12-19
NECKARWESTHEIM-1,GERMANY,Permanent Shutdown,PWR  ,785,1972-02-01,1976-06-03,1976-12-01
NIEDERAICHBACH,GERMANY,Permanent Shutdown,HWGCR,100,1966-06-01,1973-01-01,1973-01-01
OBRIGHEIM,GERMANY,Permanent Shutdown,PWR  ,340,1965-03-15,1968-10-29,1969-03-31
PHILIPPSBURG-1,GERMANY,Permanent Shutdown,BWR  ,890,1970-10-01,1979-05-05,1980-03-26
RHEINSBERG,GERMANY,Permanent Shutdown,PWR  ,62,1960-01-01,1966-05-06,1966-10-11
STADE,GERMANY,Permanent Shutdown,PWR  ,640,1967-12-01,1972-01-29,1972-05-19
THTR-300,GERMANY,Permanent Shutdown,HTGR ,296,1971-05-03,1985-11-16,1987-06-01
UNTERWESER,GERMANY,Permanent Shutdown,PWR  ,1345,1972-07-01,1978-09-29,1979-09-06
VAK KAHL,GERMANY,Permanent Shutdown,BWR  ,15,1958-07-01,1961-06-17,1962-02-01
WUERGASSEN,GERMANY,Permanent Shutdown,BWR  ,640,1968-01-26,1971-12-18,1975-11-11
CAORSO,ITALY,Permanent Shutdown,BWR  ,860,1970-01-01,1978-05-23,1981-12-01
ENRICO FERMI,ITALY,Permanent Shutdown,PWR  ,260,1961-07-01,1964-10-22,1965-01-01
GARIGLIANO,ITALY,Permanent Shutdown,BWR  ,150,1959-11-01,1964-01-01,1964-06-01
LATINA,ITALY,Permanent Shutdown,GCR  ,153,1958-11-01,1963-05-12,1964-01-01
FUGEN ATR,JAPAN,Permanent Shutdown,HWLWR,148,1972-05-10,1978-07-29,1979-03-20
FUKUSHIMA-DAIICHI-1,JAPAN,Permanent Shutdown,BWR  ,439,1967-07-25,1970-11-17,1971-03-26
FUKUSHIMA-DAIICHI-2,JAPAN,Permanent Shutdown,BWR  ,760,1969-06-09,1973-12-24,1974-07-18
FUKUSHIMA-DAIICHI-3,JAPAN,Permanent Shutdown,BWR  ,760,1970-12-28,1974-10-26,1976-03-27
FUKUSHIMA-DAIICHI-4,JAPAN,Permanent Shutdown,BWR  ,760,1973-02-12,1978-02-24,1978-10-12
FUKUSHIMA-DAIICHI-5,JAPAN,Permanent Shutdown,BWR  ,760,1972-05-22,1977-09-22,1978-04-18
FUKUSHIMA-DAIICHI-6,JAPAN,Permanent Shutdown,BWR  ,1067,1973-10-26,1979-05-04,1979-10-24
GENKAI-1,JAPAN,Permanent Shutdown,PWR  ,529,1971-09-15,1975-02-14,1975-10-15
HAMAOKA-1,JAPAN,Permanent Shutdown,BWR  ,515,1971-06-10,1974-08-13,1976-03-17
HAMAOKA-2,JAPAN,Permanent Shutdown,BWR  ,806,1974-06-14,1978-05-04,1978-11-29
JPDR,JAPAN,Permanent Shutdown,BWR  ,12,1960-12-01,1963-10-26,1965-03-15
MIHAMA-1,JAPAN,Permanent Shutdown,PWR  ,320,1967-02-01,1970-08-08,1970-11-28
MIHAMA-2,JAPAN,Permanent Shutdown,PWR  ,470,1968-05-29,1972-04-21,1972-07-25
SHIMANE-1,JAPAN,Permanent Shutdown,BWR  ,439,1970-07-02,1973-12-02,1974-03-29
TOKAI-1,JAPAN,Permanent Shutdown,GCR  ,137,1961-03-01,1965-11-10,1966-07-25
TSURUGA-1,JAPAN,Permanent Shutdown,BWR  ,340,1966-11-24,1969-11-16,1970-03-14
AKTAU,KAZAKHSTAN,Permanent Shutdown,FBR  ,52,1964-10-01,1973-07-16,1973-07-16
IGNALINA-1,LITHUANIA,Permanent Shutdown,LWGR ,1185,1977-05-01,1983-12-31,1985-05-01
IGNALINA-2,LITHUANIA,Permanent Shutdown,LWGR ,1185,1978-01-01,1987-08-20,1987-12-01
DODEWAARD,NETHERLANDS,Permanent Shutdown,BWR  ,55,1965-05-01,1968-10-18,1969-03-26
APS-1 OBNINSK,RUSSIA,Permanent Shutdown,LWGR ,5,1951-01-01,1954-06-27,1954-12-01
BELOYARSK-1,RUSSIA,Permanent Shutdown,LWGR ,102,1958-06-01,1964-04-26,1964-04-26
BELOYARSK-2,RUSSIA,Permanent Shutdown,LWGR ,146,1962-01-01,1967-12-29,1969-12-01
NOVOVORONEZH-1,RUSSIA,Permanent Shutdown,PWR  ,197,1957-07-01,1964-09-30,1964-12-31
NOVOVORONEZH-2,RUSSIA,Permanent Shutdown,PWR  ,336,1964-06-01,1969-12-27,1970-04-14
BOHUNICE A1,SLOVAKIA,Permanent Shutdown,HWGCR,93,1958-08-01,1972-12-25,1972-12-25
BOHUNICE-1,SLOVAKIA,Permanent Shutdown,PWR  ,408,1972-04-24,1978-12-17,1980-04-01
BOHUNICE-2,SLOVAKIA,Permanent Shutdown,PWR  ,408,1972-04-24,1980-03-26,1981-01-01
JOSE CABRERA-1,SPAIN,Permanent Shutdown,PWR  ,141,1964-06-24,1968-07-14,1969-08-13
VANDELLOS-1,SPAIN,Permanent Shutdown,GCR  ,480,1968-06-21,1972-05-06,1972-08-02
AGESTA,SWEDEN,Permanent Shutdown,PHWR ,10,1957-12-01,1964-05-01,1964-05-01
BARSEBACK-1,SWEDEN,Permanent Shutdown,BWR  ,600,1971-02-01,1975-05-15,1975-07-01
BARSEBACK-2,SWEDEN,Permanent Shutdown,BWR  ,600,1973-01-01,1977-03-21,1977-07-01
LUCENS,SWITZERLAND,Permanent Shutdown,HWGCR,6,1962-04-01,1968-01-29,
CHERNOBYL-1,UKRAINE,Permanent Shutdown,LWGR ,740,1970-03-01,1977-09-26,1978-05-27
CHERNOBYL-2,UKRAINE,Permanent Shutdown,LWGR ,925,1973-02-01,1978-12-21,1979-05-28
CHERNOBYL-3,UKRAINE,Permanent Shutdown,LWGR ,925,1976-03-01,1981-12-03,1982-06-08
CHERNOBYL-4,UKRAINE,Permanent Shutdown,LWGR ,925,1979-04-01,1983-12-22,1984-03-26
BERKELEY-1,UNITED KINGDOM,Permanent Shutdown,GCR  ,138,1957-01-01,1962-06-12,1962-06-12
BERKELEY-2,UNITED KINGDOM,Permanent Shutdown,GCR  ,138,1957-01-01,1962-06-24,1962-10-20
BRADWELL-1,UNITED KINGDOM,Permanent Shutdown,GCR  ,123,1957-01-01,1962-07-01,1962-07-01
BRADWELL-2,UNITED KINGDOM,Permanent Shutdown,GCR  ,123,1957-01-01,1962-07-06,1962-11-12
CALDER HALL-1,UNITED KINGDOM,Permanent Shutdown,GCR  ,49,1953-08-01,1956-08-27,1956-10-01
CALDER HALL-2,UNITED KINGDOM,Permanent Shutdown,GCR  ,49,1953-08-01,1957-02-01,1957-02-01
CALDER HALL-3,UNITED KINGDOM,Permanent Shutdown,GCR  ,49,1955-08-01,1958-03-01,1958-05-01
CALDER HALL-4,UNITED KINGDOM,Permanent Shutdown,GCR  ,49,1955-08-01,1959-04-01,1959-04-01
CHAPELCROSS-1,UNITED KINGDOM,Permanent Shutdown,GCR  ,48,1955-10-01,1959-02-01,1959-03-01
CHAPELCROSS-2,UNITED KINGDOM,Permanent Shutdown,GCR  ,48,1955-10-01,1959-07-01,1959-08-01
CHAPELCROSS-3,UNITED KINGDOM,Permanent Shutdown,GCR  ,48,1955-10-01,1959-11-01,1959-12-01
CHAPELCROSS-4,UNITED KINGDOM,Permanent Shutdown,GCR  ,48,1955-10-01,1960-01-01,1960-03-01
DOUNREAY DFR,UNITED KINGDOM,Permanent Shutdown,FBR  ,11,1955-03-01,1962-10-01,1962-10-01
DOUNREAY PFR,UNITED KINGDOM,Permanent Shutdown,FBR  ,234,1966-01-01,1975-01-10,1976-07-01
DUNGENESS A-1,UNITED KINGDOM,Permanent Shutdown,GCR  ,225,1960-07-01,1965-09-21,1965-10-28
DUNGENESS A-2,UNITED KINGDOM,Permanent Shutdown,GCR  ,225,1960-07-01,1965-11-01,1965-12-30
HINKLEY POINT A-1,UNITED KINGDOM,Permanent Shutdown,GCR  ,235,1957-11-01,1965-02-16,1965-03-30
HINKLEY POINT A-2,UNITED KINGDOM,Permanent Shutdown,GCR  ,235,1957-11-01,1965-03-19,1965-05-05
HUNTERSTON A-1,UNITED KINGDOM,Permanent Shutdown,GCR  ,150,1957-10-01,1964-02-05,1964-02-05
HUNTERSTON A-2,UNITED KINGDOM,Permanent Shutdown,GCR  ,150,1957-10-01,1964-06-01,1964-07-01
OLDBURY A-1,UNITED KINGDOM,Permanent Shutdown,GCR  ,217,1962-05-01,1967-11-07,1967-12-31
OLDBURY A-2,UNITED KINGDOM,Permanent Shutdown,GCR  ,217,1962-05-01,1968-04-06,1968-09-30
SIZEWELL A-1,UNITED KINGDOM,Permanent Shutdown,GCR  ,210,1961-04-01,1966-01-21,1966-03-25
SIZEWELL A-2,UNITED KINGDOM,Permanent Shutdown,GCR  ,210,1961-04-01,1966-04-09,1966-09-15
TRAWSFYNYDD-1,UNITED KINGDOM,Permanent Shutdown,GCR  ,195,1959-07-01,1965-01-14,1965-03-24
TRAWSFYNYDD-2,UNITED KINGDOM,Permanent Shutdown,GCR  ,195,1959-07-01,1965-02-02,1965-03-24
WINDSCALE AGR,UNITED KINGDOM,Permanent Shutdown,GCR  ,24,1958-11-01,1963-02-01,1963-03-01
WINFRITH SGHWR,UNITED KINGDOM,Permanent Shutdown,SGHWR,92,1963-05-01,1967-12-01,1968-01-01
WYLFA-2,UNITED KINGDOM,Permanent Shutdown,GCR  ,490,1963-09-01,1971-07-21,1972-01-03
BIG ROCK POINT,UNITED STATES OF AMERICA,Permanent Shutdown,BWR  ,67,1960-05-01,1962-12-08,1963-03-29
BONUS,UNITED STATES OF AMERICA,Permanent Shutdown,BWR  ,17,1960-01-01,1964-08-14,1965-09-01
CRYSTAL RIVER-3,UNITED STATES OF AMERICA,Permanent Shutdown,PWR  ,860,1968-09-25,1977-01-30,1977-03-13
CVTR,UNITED STATES OF AMERICA,Permanent Shutdown,PHWR ,17,1960-01-01,1963-12-18,
DRESDEN-1,UNITED STATES OF AMERICA,Permanent Shutdown,BWR  ,197,1956-05-01,1960-04-15,1960-07-04
ELK RIVER,UNITED STATES OF AMERICA,Permanent Shutdown,BWR  ,22,1959-01-01,1963-08-24,1964-07-01
FERMI-1,UNITED STATES OF AMERICA,Permanent Shutdown,FBR  ,61,1956-12-01,1966-08-05,
FORT ST. VRAIN,UNITED STATES OF AMERICA,Permanent Shutdown,HTGR ,330,1968-09-01,1976-12-11,1979-07-01
GE VALLECITOS,UNITED STATES OF AMERICA,Permanent Shutdown,BWR  ,24,1956-01-01,1957-10-19,1957-10-19
HADDAM NECK,UNITED STATES OF AMERICA,Permanent Shutdown,PWR  ,560,1964-05-01,1967-08-07,1968-01-01
HALLAM,UNITED STATES OF AMERICA,Permanent Shutdown,X    ,75,1959-01-01,1963-09-01,1963-11-01
HUMBOLDT BAY,UNITED STATES OF AMERICA,Permanent Shutdown,BWR  ,63,1960-11-01,1963-04-18,1963-08-01
INDIAN POINT-1,UNITED STATES OF AMERICA,Permanent Shutdown,PWR  ,257,1956-05-01,1962-09-16,1962-10-01
KEWAUNEE,UNITED STATES OF AMERICA,Permanent Shutdown,PWR  ,566,1968-08-06,1974-04-08,1974-06-16
LACROSSE,UNITED STATES OF AMERICA,Permanent Shutdown,BWR  ,48,1963-03-01,1968-04-26,1969-11-07
MAINE YANKEE,UNITED STATES OF AMERICA,Permanent Shutdown,PWR  ,860,1968-10-01,1972-11-08,1972-12-28
MILLSTONE-1,UNITED STATES OF AMERICA,Permanent Shutdown,BWR  ,641,1966-05-01,1970-11-29,1971-03-01
PATHFINDER,UNITED STATES OF AMERICA,Permanent Shutdown,BWR  ,59,1959-01-01,1966-07-25,
PEACH BOTTOM-1,UNITED STATES OF AMERICA,Permanent Shutdown,HTGR ,40,1962-02-01,1967-01-27,1967-06-01
PIQUA,UNITED STATES OF AMERICA,Permanent Shutdown,X    ,12,1960-01-01,1963-07-01,1963-11-01
RANCHO SECO-1,UNITED STATES OF AMERICA,Permanent Shutdown,PWR  ,873,1969-04-01,1974-10-13,1975-04-17
SAN ONOFRE-1,UNITED STATES OF AMERICA,Permanent Shutdown,PWR  ,436,1964-05-01,1967-07-16,1968-01-01
SAN ONOFRE-2,UNITED STATES OF AMERICA,Permanent Shutdown,PWR  ,1070,1974-03-01,1982-09-20,1983-08-08
SAN ONOFRE-3,UNITED STATES OF AMERICA,Permanent Shutdown,PWR  ,1080,1974-03-01,1983-09-25,1984-04-01
SAXTON,UNITED STATES OF AMERICA,Permanent Shutdown,PWR  ,3,1960-01-01,1967-03-01,1967-03-01
SHIPPINGPORT,UNITED STATES OF AMERICA,Permanent Shutdown,PWR  ,60,1954-01-01,1957-12-02,1958-05-26
SHOREHAM,UNITED STATES OF AMERICA,Permanent Shutdown,BWR  ,820,1972-11-01,1986-08-01,
THREE MILE ISLAND-2,UNITED STATES OF AMERICA,Permanent Shutdown,PWR  ,880,1969-11-01,1978-04-21,1978-12-30
TROJAN,UNITED STATES OF AMERICA,Permanent Shutdown,PWR  ,1095,1970-02-01,1975-12-23,1976-05-20
VERMONT YANKEE,UNITED STATES OF AMERICA,Permanent Shutdown,BWR  ,605,1967-12-11,1972-09-20,1972-11-30
YANKEE NPS,UNITED STATES OF AMERICA,Permanent Shutdown,PWR  ,167,1957-11-01,1960-11-10,1961-07-01
ZION-1,UNITED STATES OF AMERICA,Permanent Shutdown,PWR  ,1040,1968-12-01,1973-06-28,1973-12-31
ZION-2,UNITED STATES OF AMERICA,Permanent Shutdown,PWR  ,1040,1968-12-01,1973-12-26,1974-09-17
CAREM25,ARGENTINA,Under Construction,PWR  ,25,2014-02-08,,
BELARUSIAN-1,BELARUS,Under Construction,PWR  ,1109,2013-11-06,,
BELARUSIAN-2,BELARUS,Under Construction,PWR  ,1109,2014-04-26,,
ANGRA-3,BRAZIL,Under Construction,PWR  ,1245,2010-06-01,,2016-01-01
CHANGJIANG-2,CHINA,Under Construction,PWR  ,610,2010-11-21,,2015-12-31
FANGCHENGGANG-2,CHINA,Under Construction,PWR  ,1000,2010-12-23,,
FUQING-3,CHINA,Under Construction,PWR  ,1000,2010-12-31,,2015-07-31
FUQING-4,CHINA,Under Construction,PWR  ,1000,2012-11-17,,
FUQING-5,CHINA,Under Construction,PWR  ,1000,2015-05-07,,
HAIYANG-1,CHINA,Under Construction,PWR  ,1000,2009-09-24,,
HAIYANG-2,CHINA,Under Construction,PWR  ,1000,2010-06-20,,
HONGYANHE-4,CHINA,Under Construction,PWR  ,1000,2009-08-15,,
HONGYANHE-5,CHINA,Under Construction,PWR  ,1000,2015-03-29,,
HONGYANHE-6,CHINA,Under Construction,PWR  ,1000,2015-07-24,,
NINGDE-4,CHINA,Under Construction,PWR  ,1018,2010-09-29,,
SANMEN-1,CHINA,Under Construction,PWR  ,1000,2009-04-19,,
SANMEN-2,CHINA,Under Construction,PWR  ,1000,2009-12-15,,
SHIDAO BAY-1,CHINA,Under Construction,HTGR ,200,2012-12-09,,
TAISHAN-1,CHINA,Under Construction,PWR  ,1660,2009-11-18,,
TAISHAN-2,CHINA,Under Construction,PWR  ,1660,2010-04-15,,
TIANWAN-3,CHINA,Under Construction,PWR  ,990,2012-12-27,,
TIANWAN-4,CHINA,Under Construction,PWR  ,990,2013-09-27,,
YANGJIANG-4,CHINA,Under Construction,PWR  ,1000,2012-11-17,,
YANGJIANG-5,CHINA,Under Construction,PWR  ,1000,2013-09-18,,
YANGJIANG-6,CHINA,Under Construction,PWR  ,1000,2013-12-23,,
OLKILUOTO-3,FINLAND,Under Construction,PWR  ,1600,2005-08-12,,2018-07-01
FLAMANVILLE-3,FRANCE,Under Construction,PWR  ,1600,2007-12-03,2016-12-31,
KAKRAPAR-3,INDIA,Under Construction,PHWR ,630,2010-11-22,,
KAKRAPAR-4,INDIA,Under Construction,PHWR ,630,2010-11-22,,
KUDANKULAM-2,INDIA,Under Construction,PWR  ,917,2002-07-04,,
PFBR,INDIA,Under Construction,FBR  ,470,2004-10-23,,
RAJASTHAN-7,INDIA,Under Construction,PHWR ,630,2011-07-18,,
RAJASTHAN-8,INDIA,Under Construction,PHWR ,630,2011-09-30,,
OHMA,JAPAN,Under Construction,BWR  ,1325,2010-05-07,,
SHIMANE-3,JAPAN,Under Construction,BWR  ,1325,2007-10-12,,
SHIN-HANUL-1,"KOREA, REPUBLIC OF",Under Construction,PWR  ,1340,2012-07-10,,2016-06-30
SHIN-HANUL-2,"KOREA, REPUBLIC OF",Under Construction,PWR  ,1340,2013-06-19,,2017-06-30
SHIN-KORI-3,"KOREA, REPUBLIC OF",Under Construction,PWR  ,1340,2008-10-16,,
SHIN-KORI-4,"KOREA, REPUBLIC OF",Under Construction,PWR  ,1340,2009-08-19,,
CHASNUPP-3,PAKISTAN,Under Construction,PWR  ,315,2011-05-28,2016-09-01,2016-12-01
CHASNUPP-4,PAKISTAN,Under Construction,PWR  ,315,2011-12-18,2017-07-01,2017-10-01
AKADEMIK LOMONOSOV-1,RUSSIA,Under Construction,PWR  ,32,2007-04-15,,2019-12-31
AKADEMIK LOMONOSOV-2,RUSSIA,Under Construction,PWR  ,32,2007-04-15,,2019-12-31
BALTIC-1,RUSSIA,Under Construction,PWR  ,1109,2012-02-22,2018-12-31,2019-12-01
LENINGRAD 2-1,RUSSIA,Under Construction,PWR  ,1085,2008-10-25,,2016-07-10
LENINGRAD 2-2,RUSSIA,Under Construction,PWR  ,1085,2010-04-15,,2018-03-02
NOVOVORONEZH 2-1,RUSSIA,Under Construction,PWR  ,1114,2008-06-24,,2016-06-15
NOVOVORONEZH 2-2,RUSSIA,Under Construction,PWR  ,1114,2009-07-12,,2017-03-02
ROSTOV-4,RUSSIA,Under Construction,PWR  ,1011,2010-06-16,,2017-07-17
MOCHOVCE-3,SLOVAKIA,Under Construction,PWR  ,440,1987-01-27,2016-09-05,2016-11-09
MOCHOVCE-4,SLOVAKIA,Under Construction,PWR  ,440,1987-01-27,2017-09-05,2017-11-09
LUNGMEN 1,"TAIWAN, CHINA",Under Construction,BWR  ,1300,1999-03-31,,
LUNGMEN 2,"TAIWAN, CHINA",Under Construction,BWR  ,1300,1999-08-30,,
KHMELNITSKI-3,UKRAINE,Under Construction,PWR  ,950,1986-03-01,2021-01-01,
KHMELNITSKI-4,UKRAINE,Under Construction,PWR  ,950,1987-02-01,2021-01-01,
BARAKAH-1,UNITED ARAB EMIRATES,Under Construction,PWR  ,1345,2012-07-19,2016-11-02,2017-05-01
BARAKAH-2,UNITED ARAB EMIRATES,Under Construction,PWR  ,1345,2013-04-16,2017-11-02,2018-05-01
BARAKAH-3,UNITED ARAB EMIRATES,Under Construction,PWR  ,1345,2014-09-24,2018-11-01,
BARAKAH-4,UNITED ARAB EMIRATES,Under Construction,PWR  ,1345,2015-07-30,,
SUMMER-2,UNITED STATES OF AMERICA,Under Construction,PWR  ,1117,2013-03-09,,
SUMMER-3,UNITED STATES OF AMERICA,Under Construction,PWR  ,1117,2013-11-02,,
VOGTLE-3,UNITED STATES OF AMERICA,Under Construction,PWR  ,1117,2013-03-12,,
VOGTLE-4,UNITED STATES OF AMERICA,Under Construction,PWR  ,1117,2013-11-19,,
WATTS BAR-2,UNITED STATES OF AMERICA,Under Construction,PWR  ,1165,1973-09-01,,
